"mag_id","coverage","sample_id","site","time","cluster","rel_abund","domain","phylum","class","order","family","genus","species","phylum2"
"L036_bin.20",1.80709880582995,"L001","Influent","Summer",1,0.19239417396127,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Trichococcus","Trichococcus flocculiformis","Firmicutes"
"L036_bin.22",0.0290568651032936,"L001","Influent","Summer",5,0.00309356164777316,"Bacteria","Desulfobacterota_I","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Solidesulfovibrio","Solidesulfovibrio alcoholivorans","Desulfobacterota"
"L036_bin.25",8.06780199398204,"L001","Influent","Summer",3,0.858944787804437,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides","Macellibacteroides fermentans","Bacteroidota"
"L036_bin.3",1.82349402767036,"L001","Influent","Summer",1,0.194139703952613,"Bacteria","Firmicutes","Bacilli","RFN20","CAG-826","Onthovivens","","Firmicutes"
"L036_bin.5",0.892157599417049,"L001","Influent","Summer",1,0.0949842497982727,"Bacteria","Firmicutes_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","","","Firmicutes"
"L038_bin.11",4.26899960592698,"L001","Influent","Summer",1,0.454502349386531,"Bacteria","Firmicutes_B","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae","DTU018","","Firmicutes"
"L038_bin.16",0.990546531880716,"L001","Influent","Summer",1,0.105459303695276,"Bacteria","Firmicutes_A","Clostridia","Clostridiales","Clostridiaceae","JG1575","","Firmicutes"
"L038_bin.2",2.4455319958565,"L001","Influent","Summer",1,0.260365458004149,"Bacteria","Firmicutes_A","Clostridia","Tissierellales","Peptoniphilaceae","JAAYQA01","","Firmicutes"
"L038_bin.23",0.583011205167099,"L001","Influent","Summer",1,0.0620707395004738,"Bacteria","Firmicutes_B","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae","UBA4844","","Firmicutes"
"L038_bin.25",8.39808933120953,"L001","Influent","Summer",1,0.894109084970007,"Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","JAAZGD01","","Firmicutes"
"L038_bin.7",7.65888342563044,"L001","Influent","Summer",1,0.815408955717327,"Bacteria","Firmicutes_A","Clostridia","Saccharofermentanales","DTU023","UBA4923","UBA4923 sp002427535","Firmicutes"
"L039_bin.10",0.0236018185819112,"L001","Influent","Summer",4,0.00251278589493896,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","UBA5518","UBA5518","","Proteobacteria"
"L039_bin.13",0.119309042161395,"L001","Influent","Summer",5,0.012702329578603,"Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Microbacteriaceae","Terrimesophilobacter","","Actinobacteriota"
"L039_bin.4",0.000129722312367018,"L001","Influent","Summer",5,1.38109864561257e-05,"Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","UBA8139","","","Actinobacteriota"
"L039_bin.7",0.00135382260326397,"L001","Influent","Summer",4,0.000144135771992523,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira_A","Nitrospira_A sp001567445","Nitrospirota"
"L040_bin.10",0.0331309413571203,"L001","Influent","Summer",3,0.00352731133151013,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","LD1","UBA7692","UBA7692 sp001897535","Bacteroidota"
"L040_bin.16",0.000151279920208393,"L001","Influent","Summer",5,1.61061338713315e-05,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","UBA11358","SCTL01","","Verrucomicrobiota"
"L040_bin.20",0.0288811323263406,"L001","Influent","Summer",4,0.00307485212156977,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella_A","Dokdonella_A sp014338185","Proteobacteria"
"L040_bin.21",0.000138253155306751,"L001","Influent","Summer",5,1.47192292568448e-05,"Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","","","Myxococcota"
"L040_bin.7",0.0122243707178293,"L001","Influent","Summer",4,0.0013014770962526,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Thiobacillaceae","PFJX01","","Proteobacteria"
"L040_bin.9",0.00801430273728337,"L001","Influent","Summer",4,0.000853248948004822,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Thiobacillaceae","PFJX01","","Proteobacteria"
"L078_bin.10",2.42771209299958,"L001","Influent","Summer",3,0.258468248244967,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","VadinHA17","LD21","LD21 sp012729475","Bacteroidota"
"L078_bin.17",1.95666463723702,"L001","Influent","Summer",3,0.208317816040806,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","DTU049","GWF2-43-63","","Bacteroidota"
"L078_bin.28",0.960100785176949,"L001","Influent","Summer",1,0.102217873692219,"Bacteria","Firmicutes_A","Clostridia","Clostridiales","Clostridiaceae","Proteiniclasticum","","Firmicutes"
"L078_bin.34",5.64826987369596,"L001","Influent","Summer",3,0.601347426689804,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","DMER64","DMER64 sp001512865","Bacteroidota"
"L078_bin.37",2.71934047049127,"L001","Influent","Summer",2,0.289516689320888,"Archaea","Halobacteriota","Methanosarcinia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina mazei","Halobacteriota"
"L078_bin.9",21.8145487306006,"L001","Influent","Summer",3,2.32250282597813,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Geofilum","Geofilum sp002427105","Bacteroidota"
"L080_bin.29",0.479039308419279,"L001","Influent","Summer",2,0.051001290986951,"Archaea","Methanobacteriota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","UBA412","UBA412 sp002495685","Methanobacteriota"
"L080_bin.38",1.74733279736014,"L001","Influent","Summer",5,0.186031139580739,"Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Corynebacterium","Corynebacterium sp012838985","Actinobacteriota"
"L081_bin.10",0.237209669241869,"L001","Influent","Summer",1,0.0252547111547978,"Bacteria","Firmicutes_A","Clostridia","Tissierellales","Peptoniphilaceae","","","Firmicutes"
"L081_bin.12",0.302394552248016,"L001","Influent","Summer",1,0.0321946702097593,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Bulleidia","","Firmicutes"
"L081_bin.18",1.05104516057753,"L001","Influent","Summer",1,0.111900337055688,"Bacteria","Firmicutes_A","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium sp000435835","Firmicutes"
"L081_bin.30",0.34457225607257,"L001","Influent","Summer",1,0.0366851521140851,"Bacteria","Firmicutes_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","","","Firmicutes"
"L081_bin.36",0.70399276347388,"L001","Influent","Summer",3,0.0749511348058596,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","","Bacteroidota"
"L081_bin.38",0.801447371615569,"L001","Influent","Summer",2,0.0853267151402887,"Archaea","Halobacteriota","Methanomicrobia","Methanomicrobiales","Methanoculleaceae","Methanoculleus","","Halobacteriota"
"L081_bin.4",0.497047938365356,"L001","Influent","Summer",5,0.0529185937218496,"Bacteria","Desulfobacterota_I","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio legallii","Desulfobacterota"
"L082_bin.12",0.256640596593172,"L001","Influent","Summer",4,0.0273234398845135,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Thiopseudomonas","","Proteobacteria"
"L082_bin.18",64.5302355689357,"L001","Influent","Summer",1,6.87026150853413,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Syner-03","Syner-03 sp012727545","Synergistota"
"L082_bin.19",0.0656999033542046,"L001","Influent","Summer",4,0.00699479109520085,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas","","Proteobacteria"
"L082_bin.25",0.0590292479969848,"L001","Influent","Summer",4,0.00628459460616981,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Thauera","","Proteobacteria"
"L082_bin.26",0.149298789916051,"L001","Influent","Summer",4,0.0158952113003713,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Ottowia","Ottowia sp001897615","Proteobacteria"
"L082_bin.27",2.81075338361508,"L001","Influent","Summer",4,0.299249035915944,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Comamonas","Comamonas denitrificans_A","Proteobacteria"
"L082_bin.3",15.5548987623251,"L001","Influent","Summer",3,1.65606434400484,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","DMER64","DMER64 sp002427525","Bacteroidota"
"L082_bin.9",2.64518175008312,"L001","Influent","Summer",3,0.281621323716683,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Gelidibacter","","Bacteroidota"
"L001_bin.13",29.5098540552536,"L003","AD","Summer",1,2.8328298318678,"Bacteria","Firmicutes_A","Clostridia","Saccharofermentanales","Fastidiosipilaceae","JAAYZH01","JAAYZH01 sp012514965","Firmicutes"
"L001_bin.14",0.88953608008231,"L003","AD","Summer",3,0.0853919622734053,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","4484-276","SABY01","","Bacteroidota"
"L001_bin.17",16.7472443338492,"L003","AD","Summer",3,1.6076695351213,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","UBA2632","UBA2632 sp012840785","Bacteroidota"
"L001_bin.19",14.4925119844024,"L003","AD","Summer",1,1.39122410470911,"Bacteria","Firmicutes_A","Clostridia","Tissierellales","Sedimentibacteraceae","Sedimentibacter","","Firmicutes"
"L001_bin.2",84.41108241794,"L003","AD","Summer",1,8.10313165107712,"Bacteria","Firmicutes_A","Clostridia","Saccharofermentanales","Saccharofermentanaceae","DUPM01","DUPM01 sp012838315","Firmicutes"
"L001_bin.20",73.4562611876159,"L003","AD","Summer",3,7.05151193361139,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","Proteiniphilum sp012728155","Bacteroidota"
"L001_bin.3",21.9506164106313,"L003","AD","Summer",3,2.10717277284714,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","UBA1179","UBA1179 sp002340405","Bacteroidota"
"L001_bin.6",19.6719331843431,"L003","AD","Summer",3,1.88842815253423,"Bacteria","Verrucomicrobiota","Kiritimatiellae","RFP12","UBA3636","JAAZFF01","","Verrucomicrobiota"
"L001_bin.7",22.7173194536646,"L003","AD","Summer",1,2.18077324706236,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Syner-03","Syner-03 sp002316795","Synergistota"
"L003_bin.19",20.3747304500309,"L003","AD","Summer",1,1.95589392367182,"Bacteria","Firmicutes_A","Clostridia","Christensenellales","CAG-74","UBA1038","","Firmicutes"
"L003_bin.22",17.5161959736582,"L003","AD","Summer",1,1.68148586577601,"Bacteria","Synergistota","Synergistia","Synergistales","Dethiosulfovibrionaceae","Pyramidobacter","Pyramidobacter piscolens_A","Synergistota"
"L003_bin.25",62.7390655690757,"L003","AD","Summer",3,6.02270333952895,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","JAFGAQ01","JAFGAQ01","","Verrucomicrobiota"
"L003_bin.29",27.6141756806028,"L003","AD","Summer",3,2.65085216971866,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RUG11257","RUG11257 sp012513425","Bacteroidota"
"L003_bin.3",15.9598470231862,"L003","AD","Summer",5,1.53208249267093,"Bacteria","Fibrobacterota","Chitinivibrionia","Chitinivibrionales","Chitinispirillaceae","JAAYIG01","","Fibrobacterota"
"L003_bin.31",31.8204074653092,"L003","AD","Summer",3,3.05463386437416,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Lentimicrobiaceae","Lentimicrobium","Lentimicrobium sp002410555","Bacteroidota"
"L003_bin.7",78.3644554484402,"L003","AD","Summer",3,7.52267926289169,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Fermentimonas","Fermentimonas sp002398875","Bacteroidota"
"L003_bin.9",68.8489548007033,"L003","AD","Summer",3,6.60922865586412,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","DMER64","DMER64 sp002408205","Bacteroidota"
